matchId,teamId,side,win,firstBlood,firstTower,firstInhibitor,firstDragon,firstBaron,firstHerald,championKills,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
BR1_2857282751,100,blue,True,True,True,False,False,True,True,19,4,0,0,2,1
BR1_2857282751,200,red,False,False,False,False,False,False,False,4,0,0,0,0,0
BR1_2859494716,100,blue,True,True,True,True,False,True,True,58,10,2,0,4,1
BR1_2859494716,200,red,False,False,False,False,False,False,False,31,3,0,0,0,0
BR1_2863862802,100,blue,True,False,True,True,True,True,True,43,10,2,1,2,1
BR1_2863862802,200,red,False,True,False,False,False,False,False,26,2,0,0,1,0
BR1_2858809374,100,blue,True,False,False,True,True,False,False,48,11,2,3,1,0
BR1_2858809374,200,red,False,True,True,False,False,True,True,46,6,0,0,5,2
BR1_2862663745,100,blue,False,False,True,False,False,False,False,13,1,0,0,0,0
BR1_2862663745,200,red,True,True,False,False,False,True,True,23,3,0,0,1,1
BR1_2865160052,100,blue,True,False,False,True,True,False,False,53,9,2,2,3,1
BR1_2865160052,200,red,False,True,True,False,False,True,True,29,3,0,0,1,1
BR1_2861637349,100,blue,True,False,False,True,True,False,True,43,10,1,2,3,1
BR1_2861637349,200,red,False,True,True,False,False,True,False,30,2,0,0,1,1
BR1_2855712864,100,blue,False,False,False,False,False,False,False,12,0,0,0,0,0
BR1_2855712864,200,red,True,True,True,True,False,True,True,26,7,1,0,2,1
BR1_2864917878,100,blue,True,False,True,True,True,False,True,32,10,1,2,2,2
BR1_2864917878,200,red,False,True,False,False,False,True,False,44,3,0,0,3,0
BR1_2864780203,100,blue,True,True,True,True,False,True,True,32,9,1,0,2,2
BR1_2864780203,200,red,False,False,False,False,False,False,False,11,0,0,0,0,0
BR1_2864524219,100,blue,True,True,True,True,False,False,True,34,10,2,1,2,1
BR1_2864524219,200,red,False,False,False,False,True,True,False,30,6,0,1,4,1
BR1_2862067177,100,blue,False,True,False,False,False,False,False,27,1,0,0,1,1
BR1_2862067177,200,red,True,False,True,False,True,True,True,48,7,0,1,3,1
BR1_2863193229,100,blue,False,True,True,False,False,True,False,10,2,0,0,1,1
BR1_2863193229,200,red,True,False,False,False,False,False,True,20,3,0,0,2,1
BR1_2864807035,100,blue,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2864807035,200,red,True,True,False,False,False,False,False,1,0,0,0,0,0
BR1_2864493600,100,blue,False,False,False,False,False,True,True,14,2,0,0,1,1
BR1_2864493600,200,red,True,True,True,True,True,False,False,33,11,2,1,3,0
BR1_2865051186,100,blue,False,False,False,False,False,True,False,17,2,0,0,1,0
BR1_2865051186,200,red,True,True,True,True,True,False,True,35,9,1,1,1,2
BR1_2860201798,100,blue,True,True,False,True,True,True,False,24,6,1,1,1,1
BR1_2860201798,200,red,False,False,True,False,False,False,True,28,3,0,0,3,1
BR1_2860594557,100,blue,False,False,False,False,False,False,False,12,1,0,0,0,0
BR1_2860594557,200,red,True,True,True,True,False,True,True,27,8,1,0,2,2
BR1_2863531782,100,blue,True,True,True,True,True,False,True,29,11,4,2,2,1
BR1_2863531782,200,red,False,False,False,False,False,True,False,39,7,1,0,2,0
BR1_2861835114,100,blue,True,True,False,True,True,True,False,39,9,2,2,4,1
