puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
R9E9M76IZk40EIvwwdIUFbouIo3EvEIJ5Mbd-XkUQb3jYxGQnyQdQArDJIDJxfEULFkhC982XjQAiw,-P3vCBYuJtMVcpXjGvkgnwdpdXApoxed4vzGU-pQ-GFVnm4,COORDER FAVELADO,BET ON COORDER,cuzao
jrA82BUZM154JCr8rzey6ls-j9GSEKpdCr-4JiswiW-vfqUmgr1oV0PJRrmpYhgmNKPIb5CToa7nBQ,GiDA3AFy0YiiJeRDDYxhe2aXdt40RdMgV3JG7tAlPwZEubC-6xArde15AQ,uwilldie1v1,im not fine,end
6Nsj1G-jCfw9olo8rY6tQ4erBI2Tfd5n4bHCDsANogLgcnN8G-eMvupggHE9TYEf3eMs1t_T7pHggQ,6zL5xDhOz9eupBf4GZlG5_RplhvslmeywRLPpNbeFsByUtw,Louis Arneb,Louis Arneb,BR1
X6ktdWn9zvFf78kT_8rWtskTsT2fjQcqzSyGo2XG_XR_PbTfMzMjQq9yzPbAFrJJsnYXOsb54dc89A,oGhaAuMHA_jpbTr3mhNfubsClplmfwaL0EHeAvdCucWp6A,laserziй,Laser,Bruno
WtJmTpQRmvuO8QMfLq0TSbVLcR32LGYE9E9hSGrzzW8KfKYxBC6-2tH6_Bs3G1ws0yuD5ggKHs9rQA,Qs1sapeoVYCxfpnDbFI55gHyQvor6-YwK53MGr_Fpi1NA-s,Skyttler,Skyttler,BR1
0iWv2zi0P9-Lp2NtBzS9P_NqG9dVx4EueWkQngluwTuInX91CkxFsQOymhHAcMgGo9B5KHJ_Ej5isQ,VOff05JLgvNh5OdCrrm9huvqW235uSaLNOarSUIpuCQT6zY,Ily Hoshis,Ily Hoshis,BR1
gh1kXtcCwQPZlPW2mSosO5MwRowHYlogHE4KsK8ou-hz4I-a3m6JLkQD9ydCHLVfYkr0qHLgqIH4DQ,uRc4nX47gd79R5skDrs4V12gEtnaXjTWnHHTOAHxYroVFg,procurando nami,amala2250662k,000
n1ncnWQxg4PFW056RHkqUE0iFyTBs50p28Z9K9MdzmrdwQzAsY_RfDKH5j5cPhYW4jLTLw0WAP6_cA,atOhBFiq1RM6EKRZOSbsBIr7vO8neVDpgYbacv7CRjq88w,iMaaasTeR,iMaaasTeR,BR1
cKnv4Z5Oa8xDa81zoHOdHCLHP8iFxm67Vg_MDB99cCcWj4g0JzNiBiASfMujnHkCO6UxcJ-9fG5FMg,-B2QCX-hd8a9eB7Zv1Cra4R5Mdkn91a3XX2YiWkYngb15nE,pec0,pec0,BR1
b4cCxjfVAglDySpkd6a2-Ie2NaojelXww37KTF1pK36KJA5s-MIThZzJV9TkaYnf4Qqe2BWUPVoiUg,Y--9hPlRlZFEQCMozlG6cDHPNb4gTGIhF-OOM_a2rW2I6SY,IsDEAD2,low profile,nat
ABSab5hYDr024RVmCEelUqvLLHT_uPcrzh98vI3Xzl_GbVg7vQ28caAHQL7DM81zp5x8_5RtnkHWTA,T84s4DkiUdRrSnUFXRvi330-bKs4DUBOX8jUuyXGDLpgPw,Iwant2die,Murk,help
